filename,processed_file,PSNR
narrow_brown-162-_jpg.rf.1d9087a88d9d9342bfb027d3510016ec.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-162-_jpg.rf.1d9087a88d9d9342bfb027d3510016ec HE_L.jpg,12.57
narrow_brown-163-_jpg.rf.4c9559ee23f5779db3793b7a53a01971.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-163-_jpg.rf.4c9559ee23f5779db3793b7a53a01971 HE_L.jpg,12.69
narrow_brown-164-_jpg.rf.710434064980f38d9f0eff541495d52e.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-164-_jpg.rf.710434064980f38d9f0eff541495d52e HE_L.jpg,16.65
narrow_brown-165-_jpg.rf.002bd0895fa18920428e238fd14ea16d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-165-_jpg.rf.002bd0895fa18920428e238fd14ea16d HE_L.jpg,11.54
narrow_brown-166-_jpg.rf.76d5e04a2be6cacdcfbf959cc304da0b.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-166-_jpg.rf.76d5e04a2be6cacdcfbf959cc304da0b HE_L.jpg,13.45
narrow_brown-167-_jpg.rf.bdb30d03b44e215f5ab801d092eeacde.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-167-_jpg.rf.bdb30d03b44e215f5ab801d092eeacde HE_L.jpg,11.94
narrow_brown-168-_jpg.rf.f17df2fd7461ff86b20cc3c492a7642f.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-168-_jpg.rf.f17df2fd7461ff86b20cc3c492a7642f HE_L.jpg,13.89
narrow_brown-169-_jpg.rf.6f55c22441ced241e55dfa27353dc941.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-169-_jpg.rf.6f55c22441ced241e55dfa27353dc941 HE_L.jpg,18.23
narrow_brown-17-_jpg.rf.3a1576a95ff72350fa06a736c5be1c5f.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-17-_jpg.rf.3a1576a95ff72350fa06a736c5be1c5f HE_L.jpg,11.20
narrow_brown-170-_jpg.rf.9ebb4bd04e43028fe205fe46c7234e73.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-170-_jpg.rf.9ebb4bd04e43028fe205fe46c7234e73 HE_L.jpg,12.29
